source,year,month,platform,item_head,targets,done_ltrs,achieved_pct,est_ltr
secondary,2025,1,Amazon MP,COMMODITY,,0.0,,0.0
secondary,2025,1,Blinkit,COMMODITY,,3834.0,,3834.0
secondary,2025,1,Swiggy,COMMODITY,,0.0,,0.0
secondary,2025,1,Zepto,COMMODITY,,0.0,,0.0
secondary,2025,1,BigBasket,COMMODITY,,5483.0,,5483.0
secondary,2025,1,CityMall,COMMODITY,,0.0,,0.0
secondary,2025,1,Flipkart,COMMODITY,,17116.0,,17116.0
secondary,2025,1,Flipkart Grocery,COMMODITY,,0.0,,0.0
secondary,2025,2,Amazon,PREMIUM,,58841.5,,58841.5
secondary,2025,2,Amazon MP,PREMIUM,,0.0,,0.0
secondary,2025,2,Blinkit,PREMIUM,,33022.0,,33022.0
secondary,2025,2,Swiggy,PREMIUM,,0.0,,0.0
secondary,2025,2,Zepto,PREMIUM,,0.0,,0.0
secondary,2025,2,BigBasket,PREMIUM,,3895.0,,3895.0
secondary,2025,2,Zomato,PREMIUM,,0.0,,0.0
secondary,2025,2,CityMall,PREMIUM,,0.0,,0.0
secondary,2025,2,Flipkart,PREMIUM,,32061.0,,32061.0
secondary,2025,2,Flipkart Grocery,PREMIUM,,0.0,,0.0
secondary,2025,2,Amazon,COMMODITY,,103158.0,,103158.0
secondary,2025,2,Amazon MP,COMMODITY,,0.0,,0.0
secondary,2025,2,Blinkit,COMMODITY,,10099.0,,10099.0
secondary,2025,2,Swiggy,COMMODITY,,0.0,,0.0
secondary,2025,2,Zepto,COMMODITY,,0.0,,0.0
secondary,2025,2,BigBasket,COMMODITY,,4860.0,,4860.0
secondary,2025,2,CityMall,COMMODITY,,0.0,,0.0
secondary,2025,2,Flipkart,COMMODITY,,10304.0,,10304.0
secondary,2025,2,Flipkart Grocery,COMMODITY,,0.0,,0.0
secondary,2025,3,Amazon,PREMIUM,,71982.65,,71982.65
secondary,2025,3,Amazon MP,PREMIUM,,0.0,,0.0
secondary,2025,3,Blinkit,PREMIUM,,36189.0,,36189.0
secondary,2025,3,Swiggy,PREMIUM,,0.0,,0.0
secondary,2025,3,Zepto,PREMIUM,,0.0,,0.0
secondary,2025,3,BigBasket,PREMIUM,,4365.0,,4365.0
secondary,2025,3,Zomato,PREMIUM,,0.0,,0.0
secondary,2025,3,CityMall,PREMIUM,,32.0,,35.42857142857143
secondary,2025,3,Flipkart,PREMIUM,,8939.5,,8939.5
secondary,2025,3,Flipkart Grocery,PREMIUM,,0.0,,0.0
secondary,2025,3,Amazon,COMMODITY,,109604.0,,109604.0
secondary,2025,3,Amazon MP,COMMODITY,,0.0,,0.0
secondary,2025,3,Blinkit,COMMODITY,,17967.0,,17967.0
secondary,2025,3,Swiggy,COMMODITY,,0.0,,0.0
secondary,2025,3,Zepto,COMMODITY,,0.0,,0.0
secondary,2025,3,BigBasket,COMMODITY,,5694.0,,5694.0
secondary,2025,3,CityMall,COMMODITY,,3236.0,,3582.714285714286
secondary,2025,3,Flipkart,COMMODITY,,4342.0,,4342.0
secondary,2025,3,Flipkart Grocery,COMMODITY,,0.0,,0.0
secondary,2025,4,Amazon,PREMIUM,,72522.55,,72522.55
secondary,2025,4,Amazon MP,PREMIUM,,0.0,,0.0
secondary,2025,4,Blinkit,PREMIUM,,33268.0,,33268.0
secondary,2025,4,Swiggy,PREMIUM,,0.0,,0.0
secondary,2025,4,Zepto,PREMIUM,,0.0,,0.0
secondary,2025,4,BigBasket,PREMIUM,,4033.0,,4033.0
secondary,2025,4,Zomato,PREMIUM,,1252.0,,12520.0
secondary,2025,4,CityMall,PREMIUM,,0.0,,0.0
secondary,2025,4,Flipkart,PREMIUM,,16219.5,,16219.5
secondary,2025,4,Flipkart Grocery,PREMIUM,,0.0,,0.0
secondary,2025,4,Amazon,COMMODITY,,89713.0,,89713.0
secondary,2025,4,Amazon MP,COMMODITY,,0.0,,0.0
secondary,2025,4,Blinkit,COMMODITY,,29546.0,,29546.0
secondary,2025,4,Swiggy,COMMODITY,,0.0,,0.0
secondary,2025,4,Zepto,COMMODITY,,0.0,,0.0
secondary,2025,4,BigBasket,COMMODITY,,5729.0,,5729.0
secondary,2025,4,CityMall,COMMODITY,,0.0,,0.0
secondary,2025,4,Flipkart,COMMODITY,,12126.0,,12126.0
secondary,2025,4,Flipkart Grocery,COMMODITY,,0.0,,0.0
secondary,2025,5,Amazon,PREMIUM,,82780.4,,82780.4
secondary,2025,5,Amazon MP,PREMIUM,,0.0,,0.0
secondary,2025,5,Blinkit,PREMIUM,,35737.0,,35737.0
secondary,2025,5,Swiggy,PREMIUM,,0.0,,0.0
secondary,2025,5,Zepto,PREMIUM,,0.0,,0.0
secondary,2025,5,BigBasket,PREMIUM,,4095.0,,4095.0
secondary,2025,5,Zomato,PREMIUM,,0.0,,0.0
secondary,2025,5,CityMall,PREMIUM,,0.0,,0.0
secondary,2025,5,Flipkart,PREMIUM,,16681.0,,16681.0
secondary,2025,5,Flipkart Grocery,PREMIUM,,0.0,,0.0
secondary,2025,5,Amazon,COMMODITY,,147659.0,,147659.0
secondary,2025,5,Amazon MP,COMMODITY,,0.0,,0.0
secondary,2025,5,Blinkit,COMMODITY,,35039.0,,35039.0
secondary,2025,5,Swiggy,COMMODITY,,0.0,,0.0
secondary,2025,5,Zepto,COMMODITY,,0.0,,0.0
secondary,2025,5,BigBasket,COMMODITY,,6321.0,,6321.0
secondary,2025,5,CityMall,COMMODITY,,0.0,,0.0
secondary,2025,5,Flipkart,COMMODITY,,14391.0,,14391.0
secondary,2025,5,Flipkart Grocery,COMMODITY,,0.0,,0.0
secondary,2025,6,Amazon,PREMIUM,,66579.6,,66579.6
secondary,2025,6,Amazon MP,PREMIUM,,0.0,,0.0
secondary,2025,6,Blinkit,PREMIUM,,34220.0,,34220.0
secondary,2025,6,Swiggy,PREMIUM,,0.0,,0.0
secondary,2025,6,Zepto,PREMIUM,,0.0,,0.0
secondary,2025,6,BigBasket,PREMIUM,,3598.0,,3598.0
secondary,2025,6,Zomato,PREMIUM,,0.0,,0.0
secondary,2025,6,CityMall,PREMIUM,,0.0,,0.0
secondary,2025,6,Flipkart,PREMIUM,,14982.0,,14982.0
secondary,2025,6,Flipkart Grocery,PREMIUM,,0.0,,0.0
secondary,2025,6,Amazon,COMMODITY,,128418.0,,128418.0
secondary,2025,6,Amazon MP,COMMODITY,,0.0,,0.0
secondary,2025,6,Blinkit,COMMODITY,,30446.0,,30446.0
secondary,2025,6,Swiggy,COMMODITY,,0.0,,0.0
secondary,2025,6,Zepto,COMMODITY,,0.0,,0.0
secondary,2025,6,BigBasket,COMMODITY,,5697.0,,5697.0
secondary,2025,6,CityMall,COMMODITY,,0.0,,0.0
secondary,2025,6,Flipkart,COMMODITY,,11996.0,,11996.0
secondary,2025,6,Flipkart Grocery,COMMODITY,,0.0,,0.0
secondary,2025,7,Amazon,PREMIUM,,91102.45,,91102.45
secondary,2025,7,Amazon MP,PREMIUM,,0.0,,0.0
secondary,2025,7,Blinkit,PREMIUM,,37351.0,,37351.0
secondary,2025,7,Swiggy,PREMIUM,,0.0,,0.0
secondary,2025,7,Zepto,PREMIUM,,0.0,,0.0
secondary,2025,7,BigBasket,PREMIUM,,3908.0,,3908.0
secondary,2025,7,Zomato,PREMIUM,,0.0,,0.0
secondary,2025,7,CityMall,PREMIUM,,0.0,,0.0
secondary,2025,7,Flipkart,PREMIUM,,16909.0,,16909.0
secondary,2025,7,Flipkart Grocery,PREMIUM,,0.0,,0.0
secondary,2025,7,Amazon,COMMODITY,,146988.0,,146988.0
secondary,2025,7,Amazon MP,COMMODITY,,0.0,,0.0
secondary,2025,7,Blinkit,COMMODITY,,23730.0,,23730.0
secondary,2025,7,Swiggy,COMMODITY,,0.0,,0.0
secondary,2025,7,Zepto,COMMODITY,,0.0,,0.0
secondary,2025,7,BigBasket,COMMODITY,,7089.0,,7089.0
secondary,2025,7,CityMall,COMMODITY,,0.0,,0.0
secondary,2025,7,Flipkart,COMMODITY,,10932.0,,10932.0
secondary,2025,7,Flipkart Grocery,COMMODITY,,0.0,,0.0
secondary,2025,8,Amazon,PREMIUM,,77031.95,,77031.95
secondary,2025,8,Amazon MP,PREMIUM,,0.0,,0.0
secondary,2025,8,Blinkit,PREMIUM,,35317.0,,35317.0
secondary,2025,8,Swiggy,PREMIUM,,24209.0,,24209.0
secondary,2025,8,Zepto,PREMIUM,,0.0,,0.0
secondary,2025,8,BigBasket,PREMIUM,,3131.0,,3235.366666666667
secondary,2025,8,Zomato,PREMIUM,,0.0,,0.0
secondary,2025,8,CityMall,PREMIUM,,0.0,,0.0
secondary,2025,8,Flipkart,PREMIUM,,10308.0,,10308.0
secondary,2025,8,Flipkart Grocery,PREMIUM,,0.0,,0.0
secondary,2025,8,Amazon,COMMODITY,,107814.0,,107814.0
